SO #,Customer,Date Issued,Date Completed,SO Status,SO Tax,Part Number,Alias Number,Qty Ordered,Unit Price
057238,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,A0301,,1,($44.10)
057238,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,A0301,,1,$44.10
057238,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,B0301,,1,($32.37)
057238,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,B0301,,1,$32.37
11130952,Auto Anything,03/30/2021,03/30/2021,Complete,$0.00,A0176/B0176,,1,$74.11
11130952,Auto Anything,03/30/2021,03/30/2021,Complete,$0.00,Shipping,,1,$12.00
1112460-1159277,Auto Accessories Garage,03/30/2021,03/30/2021,Complete,$0.00,B0523,,1,$34.85
1112460-1159277,Auto Accessories Garage,03/30/2021,03/30/2021,Complete,$0.00,Shipping,,1,$12.00
1113166-1158718,Auto Accessories Garage,03/30/2021,03/30/2021,Complete,$0.00,A0429/B0429,,1,$82.35
1113166-1158718,Auto Accessories Garage,03/30/2021,03/30/2021,Complete,$0.00,Shipping,,1,$12.00
1113347-1158669,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,B0291,,1,$49.56
1113347-1158669,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,Shipping,,1,$12.00
1114230-1153161-2,Auto Accessories Garage,03/30/2021,03/30/2021,Complete,$0.00,Shipping,,1,$12.00
1114230-1153161-2,Auto Accessories Garage,03/30/2021,03/30/2021,Complete,$0.00,A0504/B0242,,1,$82.35
1114293-1158807,Auto Accessories Garage,03/30/2021,03/30/2021,Complete,$0.00,B0148,,1,$40.74
1114293-1158807,Auto Accessories Garage,03/30/2021,03/30/2021,Complete,$0.00,Shipping,,1,$12.00
1118144-1157474,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,A0204,,1,$47.50
1118144-1157474,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,Shipping,,1,$12.00
1118152-1157482,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,A0218/B0218,,1,$82.35
1118152-1157482,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,Shipping,,1,$12.00
1118163-1157495,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,A0164/B0164,,1,$82.35
1118163-1157495,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,Shipping,,1,$12.00
1118199-1157531,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,A0015,,1,$47.50
1118199-1157531,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,Shipping,,1,$12.00
1118202-1157534,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,C2083,,1,$30.50
1118202-1157534,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,B2083,,1,$34.85
1118202-1157534,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,Shipping,,1,$24.00
1118206-1157540,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,A0296/B0020,,1,$99.56
1118206-1157540,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,Shipping,,1,$12.00
1118213-1157546,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,A0167,,1,$47.50
1118213-1157546,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,Shipping,,1,$12.00
1118214-1157547,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,B0020,,1,$40.74
1118214-1157547,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,Shipping,,1,$12.00
1118223-1157558,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,A0193/B0193,,1,$82.35
1118223-1157558,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,Shipping,,1,$12.00
1118231-1157566,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,A0458/B0457,,1,$99.56
1118231-1157566,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,Shipping,,1,$12.00
1118238-1157574,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,A0129,,1,$47.50
1118238-1157574,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,Shipping,,1,$12.00
1118250-1157587,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,A0369/B0370,,1,$88.23
1118250-1157587,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,Shipping,,1,$12.00
1118258-1157595,Auto Accessories Garage,03/29/2021,03/29/2021,Complete,$0.00,D0399,,1,$52.94
